N° Enr.;NomETS;RegionETS
595;Bouemba;PLATEAUX
596;Bouenza 1;BOUENZA
597;Boukou - Moukongo;NIARI
598;Boukou - Paka;NIARI
599;Boumbi;BOUENZA
600;Boumoyo;BOUENZA
601;Bounda;PLATEAUX
602;Boundji;NIARI
603;Boundji;PLATEAUX
604;Boundji Lagune;CUVETTE
605;Boundji Lagune;CUVETTE CENTRALE
606;Boundji-Atsé;CUVETTE
607;Boundji-Atsé;CUVETTE CENTRALE
608;Boundza;NIARI
609;Boungolo ;KOUILOU
610;Boungolo ;SANGHA
611;Bowando;PLATEAUX
612;Boya;CUVETTE
613;Boya;CUVETTE CENTRALE
614;Boyaka;CUVETTE
615;Boyaka;CUVETTE CENTRALE
616;Boyoko;CUVETTE
617;Boyoko;CUVETTE CENTRALE
618;Boyélé;LIKOUALA
619;Bène;LIKOUALA
620;Békole;LEKOUMOU
621;Béné (Gamboma 2);PLATEAUX
622;Béné (Ollombo 2);PLATEAUX
623;Bénédiction;CUVETTE
